circular_id,sentence_text,cluster_id
CIRCULAR_001,this is the full text of circular number 001 from the ministry of finance.,2
CIRCULAR_001,it discusses new tax regulations for the upcoming fiscal year.,1
CIRCULAR_001,all businesses are required to comply with these changes by march 1st.,6
CIRCULAR_002,circular 002 from the central bank addresses revised interest rates.,2
CIRCULAR_002,the new base rate will be 5.25% effective immediately.,3
CIRCULAR_002,banks are advised to adjust their lending rates accordingly.,3
CIRCULAR_002,this measure aims to stabilize inflation and support economic growth.,5
CIRCULAR_003,an addendum to circular 001 has been issued regarding the implementation of tax regulations.,1
CIRCULAR_003,small businesses with annual turnover below a certain threshold are granted a 3-month extension for compliance.,6
CIRCULAR_004,new guidelines for listed companies on quarterly reporting.,4
CIRCULAR_004,companies must submit their financial statements within 45 days of the quarter-end.,4
CIRCULAR_004,emphasis is placed on transparency and accurate disclosure of financial performance to protect investor interests.,0
CIRCULAR_005,the central bank has released a circular on digital currency regulations.,2
CIRCULAR_005,financial institutions engaging in digital asset transactions must adhere to strict kyc and aml procedures.,0
CIRCULAR_005,this move is to mitigate risks associated with new financial technologies.,0
