circular_id,sentence_text
CIRCULAR_001,this is the full text of circular number 001 from the ministry of finance.
CIRCULAR_001,it discusses new tax regulations for the upcoming fiscal year.
CIRCULAR_001,all businesses are required to comply with these changes by march 1st.
CIRCULAR_002,circular 002 from the central bank addresses revised interest rates.
CIRCULAR_002,the new base rate will be 5.25% effective immediately.
CIRCULAR_002,banks are advised to adjust their lending rates accordingly.
CIRCULAR_002,this measure aims to stabilize inflation and support economic growth.
CIRCULAR_003,an addendum to circular 001 has been issued regarding the implementation of tax regulations.
CIRCULAR_003,small businesses with annual turnover below a certain threshold are granted a 3-month extension for compliance.
CIRCULAR_004,new guidelines for listed companies on quarterly reporting.
CIRCULAR_004,companies must submit their financial statements within 45 days of the quarter-end.
CIRCULAR_004,emphasis is placed on transparency and accurate disclosure of financial performance to protect investor interests.
CIRCULAR_005,the central bank has released a circular on digital currency regulations.
CIRCULAR_005,financial institutions engaging in digital asset transactions must adhere to strict kyc and aml procedures.
CIRCULAR_005,this move is to mitigate risks associated with new financial technologies.
